0 1 2
1 2 3
2 3 4
3 4 3
4 5 3
5 6 4
6 7 4
7 8 5
8 9 5
9 10 6
10 11 6
11 12 6
12 13 5
13 14 7
14 15 8
15 16 2
16 17 9
17 18 5
18 19 5
19 20 5
20 21 7
21 22 10
22 23 5
23 24 10
24 25 10
25 26 11
26 27 6
27 28 6
28 29 6
29 30 9
30 31 6
31 32 9
32 33 9
33 34 7
34 35 9
35 36 11
36 37 7
37 38 11
38 39 6
39 40 11
40 41 8
41 42 11
42 43 11
43 44 5
44 45 5
45 46 10
46 47 11
47 48 6
48 49 6
49 50 12
50 51 8
51 52 6
52 53 9
53 54 10
54 55 6
55 56 8
56 57 7
57 58 4
58 59 6
59 60 9
60 61 10
61 62 7
62 63 8
63 64 8
64 65 7
65 66 8
66 67 7
67 68 9
68 69 13
69 70 7
70 71 10
71 72 7
72 73 7
73 74 12
74 75 9
75 76 9
76 77 9
77 78 9
78 79 12
79 80 12
80 81 13
81 82 9
82 83 7
83 84 9
84 3 7
85 86 13
86 87 10
87 88 9
88 89 8
89 90 10
90 91 6
91 92 6
92 93 9
93 94 10
94 95 11
95 96 9
96 97 12
97 98 11
98 99 9
99 100 6
100 101 6
101 102 9
102 103 12
103 104 9
104 105 14
105 106 9
106 107 9
107 78 8
108 109 12
109 110 10
110 111 9
111 112 9
112 113 10
113 114 10
114 115 9
115 116 8
116 117 9
117 118 6
118 119 8
119 120 8
120 121 9
121 122 15
122 123 10
123 124 9
124 125 12
125 126 10
126 127 15
127 128 9
128 129 8
129 130 8
130 131 15
131 132 15
132 133 13
133 134 16
134 135 10
135 136 11
136 137 11
137 138 10
138 139 7
139 140 11
140 141 15
141 142 13
142 143 9
143 144 9
144 145 12
145 146 13
146 147 6
147 148 9
148 149 10
149 150 8
150 151 15
151 152 10
152 153 9
153 154 9
154 155 8
155 156 7
156 157 12
157 158 12
158 159 10
159 160 16
160 161 9
161 162 16
162 163 9
163 164 14
164 165 10
165 166 9
166 167 11
167 168 11
168 169 9
169 170 10
170 171 9
171 172 12
172 173 11
173 174 7
174 175 13
175 176 12
176 177 8
177 56 7
178 179 11
179 180 9
180 181 13
181 182 8
182 183 10
183 184 9
184 185 11
185 186 9
186 187 16
187 188 13
188 189 12
189 190 11
190 191 13
191 192 13
192 193 6
193 194 9
194 150 5
195 196 11
196 197 11
197 198 16
198 199 15
199 200 10
200 201 12
201 202 10
202 203 8
203 204 8
204 205 10
205 206 18
206 207 12
207 208 9
208 209 14
209 210 7
210 211 9
211 212 9
212 213 10
213 214 13
214 215 8
215 216 15
216 217 10
217 218 11
218 219 10
219 220 15
220 221 8
221 222 14
222 223 11
223 224 9
224 225 11
225 226 10
226 227 18
227 228 10
228 229 15
229 230 11
230 231 9
231 232 11
232 233 12
233 234 13
234 235 13
235 236 13
236 237 12
237 238 10
238 239 10
239 240 11
240 241 13
241 242 9
242 243 10
243 244 9
244 245 12
245 246 15
246 247 8
247 248 10
248 249 9
249 250 11
250 251 11
251 252 11
252 253 11
253 254 11
254 255 9
255 256 11
256 257 11
257 258 12
258 259 11
259 260 15
260 261 10
261 262 16
262 263 12
263 264 15
264 265 11
265 266 17
266 267 13
267 268 12
268 269 13
269 270 10
270 271 9
271 272 16
272 273 8
273 274 10
274 275 6
275 276 13
276 277 13
277 278 18
278 279 9
279 280 10
280 281 15
281 282 14
282 283 10
283 284 13
284 285 10
285 286 13
286 287 11
287 288 10
288 289 9
289 290 18
290 291 10
291 292 10
292 293 9
293 294 11
294 295 18
295 296 7
296 297 9
297 298 12
298 299 15
299 300 10
300 301 10
301 302 14
302 303 9
303 304 8
304 305 9
305 306 16
306 307 7
307 308 12
308 309 14
309 310 14
310 311 11
311 312 14
312 313 14
313 314 15
314 315 11
315 316 10
316 317 18
317 318 13
318 319 13
319 320 9
320 321 13
321 322 13
322 323 10
323 324 10
324 325 9
325 326 10
326 327 19
327 328 9
328 329 9
329 330 10
330 331 12
331 332 18
332 333 14
333 96 8
334 335 9
335 336 5
336 337 16
337 338 18
338 339 13
339 340 17
340 341 12
341 342 12
342 343 11
343 344 13
344 345 13
345 130 9
346 49 15
